fips,geo_name,individual_party,is_incumbent,is_winner,name,party,rank,reporting_pct,state,vote_pct,votes
1,1st District Primary,republican,True,True,B. Byrne,,1,100.0,Alabama,60.1,70883.0
1,1st District Primary,republican,False,False,D. Young,,2,100.0,Alabama,39.9,47021.0
2,2nd District Primaries,democrat,False,True,N. Mathis,Democratic,1,100.0,Alabama,,
2,2nd District Primaries,republican,True,True,M. Roby,Republican,1,100.0,Alabama,66.5,78001.0
2,2nd District Primaries,republican,False,False,B. Gerritson,Republican,2,100.0,Alabama,27.7,32510.0
2,2nd District Primaries,republican,False,False,B. Rogers,Republican,3,100.0,Alabama,5.8,6850.0
3,3rd District Primaries,democrat,False,True,J. Smith,Democratic,1,100.0,Alabama,,
3,3rd District Primaries,republican,True,True,M. Rogers,Republican,1,100.0,Alabama,76.0,76781.0
3,3rd District Primaries,republican,False,False,L. DiChiara,Republican,2,100.0,Alabama,24.0,24291.0
4,4th District Primary,republican,True,True,R. Aderholt,,1,100.0,Alabama,81.4,102348.0
4,4th District Primary,republican,False,False,P. Norris,,2,100.0,Alabama,18.6,23343.0
5,5th District Primaries,democrat,False,True,W. Boyd,Democratic,1,100.0,Alabama,,
5,5th District Primaries,republican,True,True,M. Brooks,Republican,1,100.0,Alabama,,
6,6th District Primaries,democrat,False,True,D. Putnam,Democratic,1,100.0,Alabama,,
6,6th District Primaries,republican,True,True,G. Palmer,Republican,1,100.0,Alabama,,
7,7th District Primary,democrat,True,True,T. Sewell,,1,100.0,Alabama,,
1,1st District Primaries,democrat,False,True,S. Lindbeck,Democratic,1,98.4,Alaska,68.8,15493.0
1,1st District Primaries,democrat,False,False,L. Hinz,Democratic,2,98.4,Alaska,19.7,4445.0
1,1st District Primaries,democrat,False,False,W. Hibler,Democratic,3,98.4,Alaska,11.4,2578.0
1,1st District Primaries,republican,True,True,D. Young,Republican,1,98.4,Alaska,71.6,34540.0
1,1st District Primaries,republican,False,False,S. Wright,Republican,2,98.4,Alaska,18.5,8946.0
1,1st District Primaries,republican,False,False,G. Heikes,Republican,3,98.4,Alaska,5.2,2511.0
1,1st District Primaries,republican,False,False,J. Tingley,Republican,4,98.4,Alaska,4.6,2234.0
1,1st District Primaries,independent_or_other,False,True,J. McDermott,Independent,1,98.4,Alaska,72.0,3533.0
1,1st District Primaries,independent_or_other,False,False,J. Watts,Independent,2,98.4,Alaska,28.0,1371.0
1,1st District Primaries,democrat,False,True,T. O'Halleran,Democratic,1,100.0,Arizona,59.2,26289.0
1,1st District Primaries,democrat,False,False,M. Olivas,Democratic,2,100.0,Arizona,40.8,18119.0
1,1st District Primaries,republican,False,True,P. Babeu,Republican,1,100.0,Arizona,31.5,16244.0
1,1st District Primaries,republican,False,False,G. Kiehne,Republican,2,100.0,Arizona,23.3,12000.0
1,1st District Primaries,republican,False,False,W. Rogers,Republican,3,100.0,Arizona,22.3,11480.0
1,1st District Primaries,republican,False,False,K. Bennett,Republican,4,100.0,Arizona,16.1,8274.0
1,1st District Primaries,republican,False,False,D. Gowan,Republican,5,100.0,Arizona,3.5,1812.0
1,1st District Primaries,republican,False,False,S. Redd,Republican,6,100.0,Arizona,3.3,1697.0
2,2nd District Primaries,democrat,False,True,M. Heinz,Democratic,1,100.0,Arizona,53.2,27791.0
2,2nd District Primaries,democrat,False,False,V. Steele,Democratic,2,100.0,Arizona,46.8,24417.0
2,2nd District Primaries,republican,True,True,M. McSally,Republican,1,100.0,Arizona,,
3,3rd District Primary,democrat,True,True,R. Grijalva,,1,100.0,Arizona,,
4,4th District Primaries,democrat,False,True,M. Weisser,Democratic,1,100.0,Arizona,,
4,4th District Primaries,republican,True,True,P. Gosar,Republican,1,100.0,Arizona,70.9,51349.0
4,4th District Primaries,republican,False,False,R. Strauss,Republican,2,100.0,Arizona,29.1,21122.0
5,5th District Primaries,democrat,False,True,T. Fuentes,Democratic,1,100.0,Arizona,64.4,13957.0
5,5th District Primaries,democrat,False,False,K. Remaklus,Democratic,2,100.0,Arizona,35.6,7707.0
5,5th District Primaries,republican,False,,C. Jones,Republican,1,100.0,Arizona,30.0,20195.0
5,5th District Primaries,republican,False,,A. Biggs,Republican,2,100.0,Arizona,28.7,19319.0
5,5th District Primaries,republican,False,,D. Stapley,Republican,3,100.0,Arizona,21.5,14477.0
5,5th District Primaries,republican,False,,J. Olson,Republican,4,100.0,Arizona,19.8,13315.0
6,6th District Primaries,democrat,False,True,J. Williamson,Democratic,1,100.0,Arizona,58.9,15545.0
6,6th District Primaries,democrat,False,False,B. Sinuk,Democratic,2,100.0,Arizona,41.1,10829.0
6,6th District Primaries,republican,True,True,D. Schweikert,Republican,1,100.0,Arizona,80.1,52956.0
6,6th District Primaries,republican,False,False,R. Wittenberg,Republican,2,100.0,Arizona,19.9,13121.0
7,7th District Primaries,democrat,True,True,R. Gallego,Democratic,1,100.0,Arizona,,
7,7th District Primaries,republican,False,True,E. Nunez,Republican,1,100.0,Arizona,,
8,8th District Primary,republican,True,True,T. Franks,,1,100.0,Arizona,70.6,49763.0
8,8th District Primary,republican,False,False,C. Van Steenwyk,,2,100.0,Arizona,29.4,20724.0
9,9th District Primaries,democrat,True,True,K. Sinema,Democratic,1,100.0,Arizona,,
9,9th District Primaries,republican,False,True,D. Giles,Republican,1,100.0,Arizona,59.9,21033.0
9,9th District Primaries,republican,False,False,J. Agra,Republican,2,100.0,Arizona,40.1,14077.0
1,1st District Primary,republican,True,True,R. Crawford,,1,0.0,Arkansas,,
2,2nd District Primaries,democrat,False,True,D. Curry,Democratic,1,0.0,Arkansas,,
2,2nd District Primaries,republican,True,True,F. Hill,Republican,1,100.0,Arkansas,84.5,86365.0
2,2nd District Primaries,republican,False,False,B. Olree,Republican,2,100.0,Arkansas,15.5,15788.0
3,3rd District Primary,republican,True,True,S. Womack,,1,0.0,Arkansas,,
4,4th District Primary,republican,True,True,B. Westerman,,1,0.0,Arkansas,,
1,1st District Primary,republican,True,True,D. La Malfa,,1,100.0,California,40.3,59037.0
1,1st District Primary,democrat,False,True,J. Reed,,2,100.0,California,29.1,42543.0
1,1st District Primary,republican,False,False,J. Montes,,3,100.0,California,17.2,25203.0
1,1st District Primary,democrat,False,False,D. Peterson,,4,100.0,California,6.3,9167.0
1,1st District Primary,republican,False,False,G. Oxley,,5,100.0,California,3.2,4667.0
1,1st District Primary,independent_or_other,False,False,J. Gerlach,,6,100.0,California,2.1,3079.0
1,1st District Primary,republican,False,False,G. Cheadle,,7,100.0,California,1.8,2627.0
2,2nd District Primary,democrat,True,True,J. Huffman,,1,100.0,California,68.8,104520.0
2,2nd District Primary,republican,False,True,D. Mensing,,2,100.0,California,16.3,24690.0
2,2nd District Primary,democrat,False,False,E. Schrode,,3,100.0,California,8.1,12333.0
2,2nd District Primary,independent_or_other,False,False,M. Wookey,,4,100.0,California,6.8,10307.0
3,3rd District Primary,democrat,True,True,J. Garamendi,,1,100.0,California,63.4,73000.0
3,3rd District Primary,republican,False,True,E. Cleek,,2,100.0,California,24.0,27634.0
3,3rd District Primary,republican,False,False,R. Detert,,3,100.0,California,12.6,14447.0
4,4th District Primary,republican,True,True,T. McClintock,,1,100.0,California,61.2,97204.0
4,4th District Primary,democrat,False,True,R. Derlet,,2,100.0,California,28.1,44582.0
4,4th District Primary,democrat,False,False,S. White,,3,100.0,California,10.8,17109.0
5,5th District Primary,democrat,True,True,M. Thompson,,1,100.0,California,66.6,88322.0
5,5th District Primary,republican,False,True,C. Santamaria,,2,100.0,California,19.2,25453.0
5,5th District Primary,democrat,False,False,N. Palsson,,3,100.0,California,11.6,15399.0
5,5th District Primary,democrat,False,False,A. Poling,,4,100.0,California,2.5,3377.0
6,6th District Primary,democrat,True,True,D. Matsui,,1,100.0,California,71.0,61518.0
6,6th District Primary,republican,False,True,R. Evans,,2,100.0,California,18.7,16166.0
6,6th District Primary,democrat,False,False,J. Jefferson,,3,100.0,California,5.1,4393.0
6,6th District Primary,independent_or_other,False,False,M. Galvan,,4,100.0,California,4.0,3479.0
6,6th District Primary,independent_or_other,False,False,Y. Seretskiy,,5,100.0,California,1.3,1093.0
7,7th District Primary,democrat,True,True,A. Bera,,1,0.0,California,0.0,0.0
7,7th District Primary,republican,False,True,S. Jones,,2,0.0,California,0.0,0.0
8,8th District Primary,republican,True,True,P. Cook,,1,100.0,California,43.4,38740.0
8,8th District Primary,democrat,False,False,R. Ramirez,,2,100.0,California,21.4,19124.0
8,8th District Primary,republican,False,False,T. Donnelly,,3,100.0,California,20.2,18039.0
8,8th District Primary,democrat,False,False,J. Pinkerton,,4,100.0,California,9.5,8522.0
8,8th District Primary,democrat,False,False,R. La Plante,,5,100.0,California,5.5,4925.0
9,9th District Primary,democrat,True,True,J. McNerney,,1,100.0,California,55.4,45571.0
9,9th District Primary,republican,False,True,T. Amador,,2,100.0,California,21.9,18017.0
9,9th District Primary,republican,False,False,K. Nance,,3,100.0,California,19.2,15785.0
9,9th District Primary,independent_or_other,False,False,A. Appleby,,4,100.0,California,3.6,2935.0
10,10th District Primary,republican,True,True,J. Denham,,1,100.0,California,46.9,35008.0
10,10th District Primary,democrat,False,True,M. Eggman,,2,100.0,California,28.4,21179.0
10,10th District Primary,democrat,False,False,M. Barkley,,3,100.0,California,14.6,10917.0
10,10th District Primary,republican,False,False,R. Hodges,,4,100.0,California,10.0,7464.0
11,11th District Primary,democrat,True,True,M. DeSaulnier,,1,0.0,California,0.0,0.0
11,11th District Primary,republican,False,True,R. Petersen,,2,0.0,California,0.0,0.0
12,12th District Primary,democrat,True,True,N. Pelosi,,1,100.0,California,78.2,119941.0
12,12th District Primary,republican,False,True,B. Miller,,2,100.0,California,8.0,12287.0
12,12th District Primary,independent_or_other,False,False,P. Picus,,3,100.0,California,7.1,10936.0
12,12th District Primary,independent_or_other,False,False,B. Hermanson,,4,100.0,California,6.6,10171.0
13,13th District Primary,republican,False,True,S. Caro,,1,0.0,California,0.0,0.0
13,13th District Primary,democrat,True,True,B. Lee,,2,0.0,California,0.0,0.0
14,14th District Primary,democrat,True,True,J. Speier,,1,100.0,California,,
15,15th District Primary,democrat,True,True,E. Swalwell,,1,0.0,California,0.0,0.0
15,15th District Primary,republican,False,True,D. Turner,,2,0.0,California,0.0,0.0
16,16th District Primary,democrat,True,True,J. Costa,,1,100.0,California,54.1,33956.0
16,16th District Primary,republican,False,True,J. Tacherra,,2,100.0,California,33.8,21200.0
16,16th District Primary,republican,False,False,D. Rogers,,3,100.0,California,12.1,7574.0
17,17th District Primary,democrat,False,True,R. Khanna,,1,100.0,California,38.3,33785.0
17,17th District Primary,democrat,True,True,M. Honda,,2,100.0,California,38.1,33608.0
17,17th District Primary,republican,False,False,P. Kuo,,3,100.0,California,8.8,7793.0
17,17th District Primary,republican,False,False,R. Cohen,,4,100.0,California,8.5,7461.0
17,17th District Primary,democrat,False,False,P. Oliverio,,5,100.0,California,4.0,3552.0
17,17th District Primary,independent_or_other,False,False,K. Watson,,6,100.0,California,2.3,1991.0
18,18th District Primary,democrat,True,True,A. Eshoo,,1,100.0,California,67.9,85242.0
18,18th District Primary,republican,False,True,R. Fox,,2,100.0,California,25.0,31385.0
18,18th District Primary,democrat,False,False,B. Harlow,,3,100.0,California,7.1,8920.0
19,19th District Primary,republican,False,True,B. Lancaster,,1,0.0,California,0.0,0.0
19,19th District Primary,democrat,True,True,Z. Lofgren,,2,0.0,California,0.0,0.0
20,20th District Primary,democrat,False,True,J. Panetta,,1,100.0,California,71.5,67104.0
20,20th District Primary,republican,False,True,C. Lucius,,2,100.0,California,19.8,18552.0
20,20th District Primary,independent_or_other,False,False,B. Honegger,,3,100.0,California,3.6,3407.0
20,20th District Primary,independent_or_other,False,False,J. Williams,,4,100.0,California,3.4,3210.0
20,20th District Primary,independent_or_other,False,False,J. Digby,,5,100.0,California,1.7,1599.0
21,21st District Primary,republican,True,True,D. Valadao,,1,100.0,California,58.2,28772.0
21,21st District Primary,democrat,False,False,D. Parra,,2,100.0,California,21.4,10583.0
21,21st District Primary,democrat,False,False,E. Huerta,,3,100.0,California,20.4,10116.0
22,22nd District Primary,republican,True,True,D. Nunes,,1,100.0,California,64.9,59410.0
22,22nd District Primary,democrat,False,True,L. Campos,,2,100.0,California,28.7,26297.0
22,22nd District Primary,republican,False,False,T. Andres,,3,100.0,California,6.3,5785.0
23,23rd District Primary,republican,True,True,K. McCarthy,,1,100.0,California,56.5,51298.0
23,23rd District Primary,democrat,False,True,W. Reed,,2,100.0,California,26.6,24158.0
23,23rd District Primary,republican,False,False,K. Mettler,,3,100.0,California,12.7,11493.0
23,23rd District Primary,republican,False,False,G. Morris,,4,100.0,California,4.2,3853.0
24,24th District Primary,democrat,False,True,S. Carbajal,,1,100.0,California,32.7,47618.0
24,24th District Primary,republican,False,False,J. Fareed,,2,100.0,California,20.5,29902.0
24,24th District Primary,republican,False,False,K. Achadjian,,3,100.0,California,18.9,27545.0
24,24th District Primary,democrat,False,False,H. Schneider,,4,100.0,California,14.4,20992.0
24,24th District Primary,democrat,False,False,B. Ostrander,,5,100.0,California,5.5,8048.0
24,24th District Primary,republican,False,False,M. Kokkonen,,6,100.0,California,5.3,7779.0
24,24th District Primary,independent_or_other,False,False,S. Isakson,,7,100.0,California,1.0,1444.0
24,24th District Primary,independent_or_other,False,False,J. Uebersax,,8,100.0,California,0.9,1330.0
24,24th District Primary,democrat,False,False,B. Lucas,,9,100.0,California,0.7,1013.0
25,25th District Primary,republican,True,True,S. Knight,,1,100.0,California,49.0,46568.0
25,25th District Primary,democrat,False,True,B. Caforio,,2,100.0,California,28.7,27332.0
25,25th District Primary,democrat,False,False,L. Vince,,3,100.0,California,14.9,14197.0
25,25th District Primary,republican,False,False,J. Moffatt,,4,100.0,California,7.3,6978.0
26,26th District Primary,democrat,True,True,J. Brownley,,1,0.0,California,0.0,0.0
26,26th District Primary,republican,False,True,R. Dagnesses,,2,0.0,California,0.0,0.0
27,27th District Primary,democrat,True,True,J. Chu,,1,100.0,California,65.9,67318.0
27,27th District Primary,republican,False,True,J. Orswell,,2,100.0,California,28.4,29057.0
27,27th District Primary,independent_or_other,False,False,T. Sweeney,,3,100.0,California,5.7,5850.0
28,28th District Primary,democrat,True,True,A. Schiff,,1,100.0,California,70.5,81806.0
28,28th District Primary,republican,False,True,L. Solis,,2,100.0,California,18.7,21741.0
28,28th District Primary,democrat,False,False,S. Genovese,,3,100.0,California,10.8,12492.0
29,29th District Primary,democrat,True,True,T. Cardenas,,1,100.0,California,62.2,42892.0
29,29th District Primary,democrat,False,False,R. Alarcon,,2,100.0,California,13.1,9021.0
29,29th District Primary,democrat,False,False,J. Shammas,,3,100.0,California,11.1,7671.0
29,29th District Primary,democrat,False,False,B. Bernal,,4,100.0,California,9.8,6787.0
29,29th District Primary,democrat,False,False,D. Guzman,,5,100.0,California,3.8,2588.0
30,30th District Primary,democrat,True,True,B. Sherman,,1,100.0,California,61.1,68719.0
30,30th District Primary,republican,False,True,M. Reed,,2,100.0,California,14.0,15793.0
30,30th District Primary,democrat,False,False,P. Patrick,,3,100.0,California,8.9,9962.0
30,30th District Primary,democrat,False,False,R. Rab,,4,100.0,California,5.4,6025.0
30,30th District Primary,republican,False,False,N. Singh,,5,100.0,California,4.4,4926.0
30,30th District Primary,democrat,False,False,L. Davis,,6,100.0,California,3.2,3594.0
30,30th District Primary,republican,False,False,C. Townsend,,7,100.0,California,3.1,3492.0
31,31st District Primary,democrat,True,True,P. Aguilar,,1,100.0,California,43.3,34721.0
31,31st District Primary,republican,False,True,P. Chabot,,2,100.0,California,23.8,19088.0
31,31st District Primary,republican,False,False,J. Baca,,3,100.0,California,11.8,9452.0
31,31st District Primary,republican,True,False,S. Flynn,,4,100.0,California,11.2,8956.0
31,31st District Primary,democrat,False,False,K. Ahmed,,5,100.0,California,10.0,8007.0
32,32nd District Primary,democrat,True,True,G. Napolitano,,1,100.0,California,51.7,41423.0
32,32nd District Primary,republican,False,False,G. Fisher,,2,100.0,California,24.3,19439.0
32,32nd District Primary,democrat,False,False,R. Hernandez,,3,100.0,California,24.0,19217.0
33,33rd District Primary,democrat,True,True,T. Lieu,,1,0.0,California,0.0,0.0
